Hub_ID,Hub_City,Hub_State,Region,Hub_Size_SqFt,Hub_Type,Max_Capacity,Avg_Daily_Throughput,Hub_Operating_Cost,Hub_Status
H001,London,England,South East,82870,Local,5874,3873,567340,Maintenance
H002,Birmingham,England,West Midlands,82843,Local,3625,2812,625477,Active
H003,Edinburgh,Scotland,Scotland,80452,Local,4357,3174,568632,Active
H004,Edinburgh,Scotland,Scotland,256375,Central,10341,9098,692536,Active
H005,Leeds,England,Yorkshire,200955,Central,13960,10463,390496,Maintenance
H006,Sheffield,England,Yorkshire,136323,Regional,7325,4817,509888,Maintenance
H007,Bristol,England,South West,80315,Local,3503,2710,339543,Active
H008,Bristol,England,South West,100550,Local,5526,4199,331124,Active
H009,London,England,South East,228860,Central,13474,9623,753055,Active
H010,Liverpool,England,North West,236699,Central,11247,7612,660849,Active
H011,Birmingham,England,West Midlands,113262,Local,3858,3121,710122,Maintenance
H012,London,England,South East,147487,Regional,7423,5367,424704,Maintenance
H013,Sheffield,England,Yorkshire,96851,Local,4930,4143,725335,Active
H014,Sheffield,England,Yorkshire,107794,Local,5321,3839,726949,Active
H015,Leeds,England,Yorkshire,233810,Central,9635,8270,681074,Active
H016,Bristol,England,South West,146530,Regional,6035,5045,475767,Active
H017,Bristol,England,South West,219453,Central,9977,6995,641842,Maintenance
H018,Liverpool,England,North West,81401,Local,5105,3476,612862,Active
H019,Manchester,England,North West,101254,Local,5712,3950,688681,Active
H020,Manchester,England,North West,173544,Regional,8346,6970,788301,Active
H021,London,England,South East,137705,Regional,6525,4713,851462,Maintenance
H022,Glasgow,Scotland,Scotland,188361,Central,10047,6797,488348,Maintenance
H023,Leicester,England,East Midlands,177814,Regional,6699,4831,495543,Active
H024,London,England,South East,121305,Regional,8749,5885,848825,Maintenance
H025,Bristol,England,South West,132561,Regional,6323,4865,468725,Maintenance
H026,Liverpool,England,North West,131720,Regional,8942,6265,527710,Maintenance
H027,Leeds,England,Yorkshire,160276,Regional,8757,7200,443988,Active
H028,London,England,South East,240421,Central,14653,10010,307326,Active
H029,Glasgow,Scotland,Scotland,89275,Local,4733,3503,810948,Maintenance
H030,London,England,South East,285615,Central,9900,6866,779413,Active
H031,Glasgow,Scotland,Scotland,103674,Local,3665,2428,613100,Maintenance
H032,Leeds,England,Yorkshire,286450,Central,14278,10595,375293,Maintenance
H033,Glasgow,Scotland,Scotland,268456,Central,14594,12877,445206,Active
H034,Liverpool,England,North West,204266,Central,12692,11209,778164,Active
H035,Bristol,England,South West,209083,Central,12505,10147,509528,Active
H036,Birmingham,England,West Midlands,186405,Central,13298,9590,408818,Maintenance
H037,Manchester,England,North West,247548,Central,12842,10066,490304,Active
H038,Bristol,England,South West,152095,Regional,7032,5392,838182,Active
H039,London,England,South East,144327,Regional,6070,4762,815884,Active
H040,Leeds,England,Yorkshire,80130,Local,4727,3695,572841,Maintenance
H041,Edinburgh,Scotland,Scotland,83236,Local,4350,3779,555722,Active
H042,Sheffield,England,Yorkshire,143731,Regional,6114,4836,652705,Maintenance
H043,Glasgow,Scotland,Scotland,178553,Regional,6308,4421,888460,Maintenance
H044,Glasgow,Scotland,Scotland,174832,Regional,6674,5682,594651,Maintenance
H045,Birmingham,England,West Midlands,83611,Local,3893,3443,755707,Maintenance
H046,Birmingham,England,West Midlands,228526,Central,13699,10643,483890,Active
H047,Bristol,England,South West,285541,Central,13926,10246,449713,Maintenance
H048,Sheffield,England,Yorkshire,110831,Local,5247,3727,720037,Active
H049,Edinburgh,Scotland,Scotland,215465,Central,13009,10171,873667,Maintenance
H050,London,England,South East,85872,Local,4303,2986,681194,Maintenance
H051,Sheffield,England,Yorkshire,105496,Local,5715,4569,616916,Active
H052,Edinburgh,Scotland,Scotland,82817,Local,5442,4771,362119,Maintenance
H053,Manchester,England,North West,116658,Local,5980,4113,377348,Active
H054,Sheffield,England,Yorkshire,178747,Regional,8796,6229,657214,Maintenance
H055,Bristol,England,South West,253429,Central,12076,8238,494051,Maintenance
H056,Sheffield,England,Yorkshire,131488,Regional,8946,7291,510174,Active
H057,Bristol,England,South West,212978,Central,10588,8510,610413,Active
H058,Bristol,England,South West,268862,Central,11128,8386,729729,Maintenance
H059,Edinburgh,Scotland,Scotland,92740,Local,5423,4257,538826,Active
H060,Edinburgh,Scotland,Scotland,99857,Local,4525,3851,722452,Active
H061,Birmingham,England,West Midlands,139978,Regional,8834,6876,784938,Maintenance
H062,Edinburgh,Scotland,Scotland,219194,Central,10409,9318,773635,Maintenance
H063,Sheffield,England,Yorkshire,126424,Regional,8603,7036,400024,Maintenance
H064,Leeds,England,Yorkshire,281287,Central,9423,6511,899158,Active
H065,Edinburgh,Scotland,Scotland,120890,Regional,6012,4645,656173,Active
H066,Edinburgh,Scotland,Scotland,172312,Regional,7232,6021,434477,Active
H067,Birmingham,England,West Midlands,264489,Central,14379,10191,429999,Maintenance
H068,Sheffield,England,Yorkshire,196534,Central,10155,7455,622242,Maintenance
H069,Leeds,England,Yorkshire,290349,Central,11818,7986,451611,Active
H070,Manchester,England,North West,116211,Local,4753,3609,361601,Active
H071,Edinburgh,Scotland,Scotland,98498,Local,5787,4397,793670,Active
H072,Leicester,England,East Midlands,141426,Regional,7488,5041,791026,Active
H073,Leicester,England,East Midlands,296521,Central,14153,10797,890572,Active
H074,Manchester,England,North West,289217,Central,11939,10043,352497,Maintenance
H075,Leeds,England,Yorkshire,156830,Regional,7589,6523,436571,Active
H076,Sheffield,England,Yorkshire,131002,Regional,7262,5708,815524,Maintenance
H077,London,England,South East,91073,Local,5823,4789,334286,Maintenance
H078,Birmingham,England,West Midlands,130345,Regional,7382,5669,888134,Maintenance
H079,Birmingham,England,West Midlands,189758,Central,14542,12669,291781,Active
H080,London,England,South East,268145,Central,11932,8187,603337,Maintenance
H081,Bristol,England,South West,126055,Regional,7137,6113,765205,Active
H082,Sheffield,England,Yorkshire,101190,Local,4904,3589,394656,Active
H083,Glasgow,Scotland,Scotland,231178,Central,13380,11980,667816,Maintenance
H084,Leicester,England,East Midlands,148912,Regional,7973,6506,506960,Active
H085,Manchester,England,North West,194200,Central,11320,8681,715920,Maintenance
H086,Bristol,England,South West,142691,Regional,8294,6059,834809,Maintenance
H087,Manchester,England,North West,158907,Regional,8363,6191,794061,Active
H088,Glasgow,Scotland,Scotland,177538,Regional,7792,6905,863430,Active
H089,London,England,South East,158723,Regional,7252,5238,788325,Maintenance
H090,Birmingham,England,West Midlands,105010,Local,3568,2342,565731,Maintenance
