Shipment_Type_ID,Cargo_Category,Cargo_Subcategory,Avg_Weight_kg,Avg_Volume_cbm,Handling_Cost,Risk_Level,Temperature_Control,SLA_Days
SHP0001,FMCG,Packaged Food,980.06,3.35,318.2,Low,Yes,4
SHP0002,Automotive,Tyres,1347.49,3.05,388.32,Medium,No,10
SHP0003,Electronics,Mobile,983.66,8.01,442.12,High,No,14
SHP0004,Electronics,TV,1229.17,10.51,337.43,Low,No,12
SHP0005,Automotive,Batteries,21.56,4.51,370.98,Medium,Yes,11
SHP0006,Electronics,Laptop,354.91,6.21,128.62,Medium,No,8
SHP0007,Textiles,Footwear,279.55,8.78,123.46,High,Yes,5
SHP0008,FMCG,Beverages,267.98,11.05,74.31,Low,Yes,4
SHP0009,Electronics,Mobile,873.22,3.64,322.35,Medium,Yes,6
SHP0010,FMCG,Beverages,410.3,11.29,422.09,Low,No,8
SHP0011,Textiles,Clothing,840.34,1.73,36.48,Low,No,11
SHP0012,Pharma,Medical Devices,882.95,7.63,244.83,High,Yes,9
SHP0013,Pharma,Vaccines,1316.31,1.26,377.63,Medium,Yes,11
SHP0014,Textiles,Footwear,1444.71,7.21,329.36,High,Yes,7
SHP0015,Textiles,Home Fabrics,779.78,11.33,45.89,Low,No,6
SHP0016,Automotive,Spare Parts,1008.96,11.06,206.85,High,Yes,4
SHP0017,Pharma,Vaccines,363.36,2.95,228.65,High,Yes,2
SHP0018,FMCG,Packaged Food,893.59,0.76,18.7,Low,Yes,3
SHP0019,Pharma,Medical Devices,1058.27,10.5,306.69,Low,Yes,6
SHP0020,Automotive,Spare Parts,134.28,11.3,33.12,Medium,No,14
SHP0021,Electronics,Mobile,1096.99,8.04,351.93,Medium,Yes,2
SHP0022,FMCG,Packaged Food,744.97,6.6,62.35,Medium,No,8
SHP0023,Textiles,Clothing,510.97,1.61,5.54,High,No,5
SHP0024,Textiles,Footwear,1334.59,5.33,416.79,Medium,Yes,10
SHP0025,FMCG,Beverages,1144.86,8.39,176.2,Low,Yes,12
SHP0026,Textiles,Clothing,359.69,5.04,406.78,Medium,Yes,11
SHP0027,Electronics,TV,857.59,3.22,278.09,High,Yes,2
SHP0028,Automotive,Batteries,4.75,1.73,467.88,High,Yes,8
SHP0029,Electronics,TV,615.67,0.93,76.65,Medium,No,11
SHP0030,Electronics,Accessories,127.91,2.98,299.54,High,No,14
SHP0031,FMCG,Beverages,375.16,3.9,459.83,Low,Yes,7
SHP0032,FMCG,Personal Care,1330.47,5.94,167.35,Low,Yes,14
SHP0033,FMCG,Packaged Food,673.51,10.69,7.98,Low,No,6
SHP0034,Pharma,Medicines,906.12,2.8,344.23,High,Yes,2
SHP0035,Electronics,Mobile,1376.3,10.96,316.65,High,Yes,9
SHP0036,Pharma,Medical Devices,987.5,11.98,117.21,Low,Yes,9
SHP0037,Electronics,Mobile,687.43,10.69,255.75,Low,Yes,2
SHP0038,FMCG,Packaged Food,87.05,0.98,361.31,Medium,Yes,6
SHP0039,Pharma,Vaccines,256.85,3.55,376.07,High,No,8
SHP0040,Electronics,Laptop,1265.11,4.95,206.82,Medium,No,5
SHP0041,Automotive,Tyres,68.5,0.77,83.33,High,Yes,4
SHP0042,Textiles,Home Fabrics,144.32,9.79,187.11,High,Yes,2
SHP0043,Automotive,Spare Parts,1300.11,1.15,37.75,Low,Yes,8
SHP0044,Electronics,Laptop,813.71,4.79,343.81,Low,Yes,12
SHP0045,Pharma,Medicines,706.34,11.12,23.39,High,No,7
SHP0046,Automotive,Batteries,221.0,11.52,486.93,Low,No,5
SHP0047,FMCG,Packaged Food,1311.09,3.02,160.03,Low,No,5
SHP0048,Pharma,Vaccines,727.66,2.83,288.89,Low,Yes,1
SHP0049,Pharma,Vaccines,937.04,10.92,166.71,Medium,No,5
SHP0050,Textiles,Clothing,799.75,3.01,478.35,Medium,Yes,11
SHP0051,Textiles,Clothing,259.57,11.69,320.77,High,Yes,7
SHP0052,Automotive,Batteries,1441.53,0.98,311.77,High,Yes,4
SHP0053,Electronics,TV,501.96,4.56,143.8,Medium,No,8
SHP0054,Textiles,Clothing,349.07,10.94,246.29,Low,No,3
SHP0055,FMCG,Beverages,1407.7,9.92,282.45,Low,No,14
SHP0056,Textiles,Home Fabrics,58.39,5.63,171.98,Low,No,5
SHP0057,Textiles,Footwear,1479.48,1.84,62.7,Medium,No,11
SHP0058,FMCG,Personal Care,1076.96,11.8,448.59,High,No,7
SHP0059,Textiles,Footwear,880.48,3.68,88.19,High,Yes,14
SHP0060,Pharma,Vaccines,1488.81,2.13,21.61,Medium,No,13
SHP0061,Pharma,Medicines,692.2,0.9,9.73,High,Yes,14
SHP0062,Pharma,Vaccines,348.21,5.42,182.12,High,No,5
SHP0063,Automotive,Tyres,735.13,5.93,19.59,Low,No,8
SHP0064,Textiles,Footwear,1376.45,8.74,388.8,High,No,5
SHP0065,Textiles,Footwear,1344.39,5.13,135.12,Medium,Yes,11
SHP0066,Textiles,Clothing,162.32,2.56,476.04,Medium,Yes,3
SHP0067,Automotive,Batteries,469.27,4.02,155.12,High,No,3
SHP0068,Pharma,Medical Devices,1263.33,2.57,396.98,High,Yes,7
SHP0069,Automotive,Batteries,502.79,0.04,292.57,Low,Yes,7
SHP0070,Pharma,Vaccines,494.08,3.9,393.4,Low,No,11
